,ID_LAT_LON_YEAR_WEEK,emissions
0,ID_-0.510_29.290_2022_00,0.81193155
1,ID_-0.510_29.290_2022_01,5.658193
2,ID_-0.510_29.290_2022_02,3.2182992
3,ID_-0.510_29.290_2022_03,7.1377006
4,ID_-0.510_29.290_2022_04,5.099339
5,ID_-0.510_29.290_2022_05,4.195471
6,ID_-0.510_29.290_2022_06,6.86458
7,ID_-0.510_29.290_2022_07,6.6077666
8,ID_-0.510_29.290_2022_08,7.6937323
9,ID_-0.510_29.290_2022_09,4.088579
10,ID_-0.510_29.290_2022_10,3.4395437
11,ID_-0.510_29.290_2022_11,-2.112646
12,ID_-0.510_29.290_2022_12,-1.5075271
13,ID_-0.510_29.290_2022_13,0.30565518
14,ID_-0.510_29.290_2022_14,32.334743
15,ID_-0.510_29.290_2022_15,27.123066
16,ID_-0.510_29.290_2022_16,3.9352405
17,ID_-0.510_29.290_2022_17,1.804711
18,ID_-0.510_29.290_2022_18,6.009489
19,ID_-0.510_29.290_2022_19,6.5673842
20,ID_-0.510_29.290_2022_20,5.841487
21,ID_-0.510_29.290_2022_21,7.4439225
22,ID_-0.510_29.290_2022_22,10.110127
23,ID_-0.510_29.290_2022_23,5.2443867
24,ID_-0.510_29.290_2022_24,11.549186
25,ID_-0.510_29.290_2022_25,8.712485
26,ID_-0.510_29.290_2022_26,6.7187204
27,ID_-0.510_29.290_2022_27,4.9669843
28,ID_-0.510_29.290_2022_28,3.922297
29,ID_-0.510_29.290_2022_29,0.9179992
30,ID_-0.510_29.290_2022_30,1.4996502
31,ID_-0.510_29.290_2022_31,0.3246447
32,ID_-0.510_29.290_2022_32,-2.5154786
33,ID_-0.510_29.290_2022_33,-0.61350036
34,ID_-0.510_29.290_2022_34,-1.3080817
35,ID_-0.510_29.290_2022_35,0.716592
36,ID_-0.510_29.290_2022_36,0.716592
37,ID_-0.510_29.290_2022_37,0.716592
38,ID_-0.510_29.290_2022_38,0.31116
39,ID_-0.510_29.290_2022_39,0.16660014
40,ID_-0.510_29.290_2022_40,7.321843
